etiket,n_deger,kapsam,n_gold_poz,precision,recall,F1,AUC,dogruluk
ACL,17,0.85,7,0.778,1.0,0.875,0.9,0.882
MCL,18,0.9,3,0.333,1.0,0.5,0.875,0.778
Medial Meniscus,16,0.8,10,0.7,1.0,0.824,0.833,0.812
Lateral Meniscus,18,0.9,7,0.571,0.8,0.667,0.785,0.778
Medial OA,16,0.8,5,0.625,1.0,0.769,0.864,0.812
Lateral OA,14,0.7,4,0.6,0.75,0.667,0.775,0.786
PF OA,12,0.6,8,1.0,1.0,1.0,1.0,1.0
Effusion,19,0.95,12,0.688,1.0,0.815,0.688,0.737
Synovitis,11,0.55,10,0.875,1.0,0.933,0.875,0.909
Baker's,15,0.75,4,0.429,0.75,0.545,0.693,0.667
Contusion,13,0.65,7,0.556,1.0,0.714,0.75,0.692
Fracture,17,0.85,7,0.8,0.8,0.8,0.858,0.882
